epoch,lr,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_map,val_map_50,val_map_75,val_mar_1,val_mar_10,val_mar_100
1,0.005,0.2143800067720036,0.08651330510824018,0.09233057118741483,0.0278375107152078,0.007698619464482497,0.19182665646076202,0.5749331116676331,0.054206397384405136,0.18304425477981567,0.39055144786834717,0.3962712585926056
2,0.005,0.16498117216028957,0.0542141274958924,0.09613705787353766,0.009661857179360894,0.0049681300132662955,0.2886142432689667,0.7445340156555176,0.12866786122322083,0.2426450401544571,0.4781945049762726,0.480325847864151
3,0.005,0.1567167323664176,0.049315009208926924,0.0943840798722113,0.008434126956889186,0.004583516090620972,0.3271942138671875,0.7685014605522156,0.2053617686033249,0.2613033950328827,0.5124762058258057,0.5131378173828125
4,0.005,0.1522629565211371,0.047123966897084694,0.09320677513273551,0.00753434248776705,0.004397871956829502,0.30514389276504517,0.7554871439933777,0.12447790056467056,0.24601565301418304,0.48298555612564087,0.48368585109710693
5,0.005,0.15175455145928016,0.04690674588005438,0.0938477082701338,0.006759162993176886,0.004240933989544778,0.3520442545413971,0.8152925968170166,0.18209663033485413,0.26042795181274414,0.5082492232322693,0.5088815689086914
6,0.005,0.14721157638523033,0.045022341508084436,0.09160699882879403,0.006516438251181177,0.004065797448807663,0.36668848991394043,0.831035315990448,0.20615383982658386,0.2691096365451813,0.5192589163780212,0.5192589163780212
7,0.005,0.14591042999429524,0.04396878154751397,0.09196369685872748,0.0059532507058420135,0.004024700791280635,0.38591906428337097,0.8358231782913208,0.2502996623516083,0.2734600901603699,0.5432503819465637,0.5434204339981079
8,0.005,0.1451208291956095,0.04362566625813823,0.09138888572150426,0.005991688386783565,0.004114588851399658,0.3803684413433075,0.8544039726257324,0.2126714587211609,0.2665989100933075,0.5263699293136597,0.5266500115394592
9,0.005,0.14258509842455688,0.04226375819903246,0.09130791825320185,0.005145738674823639,0.00386768343932514,0.3961445391178131,0.8907697200775146,0.25224757194519043,0.26788830757141113,0.5221681594848633,0.5222871899604797
10,0.005,0.1427455032910225,0.041772605206494756,0.09167038948377848,0.005330048855661423,0.003972459675417164,0.4222917854785919,0.9311227798461914,0.284288614988327,0.27689510583877563,0.5381847620010376,0.5395636558532715
11,0.005,0.14009091159195639,0.04042835264726498,0.09098445979291189,0.004890194751397535,0.0037879043678893,0.42313292622566223,0.932540774345398,0.2707050144672394,0.2722015678882599,0.5393721461296082,0.5394911766052246
12,0.005,0.1384664244981706,0.03997079595972194,0.08948273410690501,0.005156147718756185,0.0038567469440345015,0.4437238276004791,0.9485678672790527,0.3005303740501404,0.28218838572502136,0.5464950203895569,0.5464950203895569
13,0.005,0.13525575257027436,0.03877497368284913,0.0880334444291522,0.004841916740546987,0.00360541780184653,0.4088321626186371,0.9572041630744934,0.23715247213840485,0.2612293064594269,0.5083579421043396,0.5083579421043396
14,0.005,0.14060971790255017,0.03999178928875506,0.09184722409912827,0.004958888836675591,0.003811816093666045,0.41430363059043884,0.9566755890846252,0.20874470472335815,0.25871962308883667,0.512542724609375,0.5128852128982544
15,0.0005,0.13588886849267065,0.03880027828368566,0.08859077107146278,0.004832738014826718,0.0036650813606918567,0.421722412109375,0.9579614996910095,0.24841031432151794,0.2588502764701843,0.5189199447631836,0.5190600156784058
16,0.0005,0.1265211278987225,0.03467883301705632,0.08341462460927072,0.0048131108011891886,0.0036145594361966685,0.46667468547821045,0.9784614443778992,0.3365505635738373,0.27965793013572693,0.5557816624641418,0.5560504794120789
17,0.0005,0.1213862634252678,0.033109527815031105,0.08163626403252389,0.003439192607426033,0.003201279243747017,0.4736058712005615,0.9716776609420776,0.34921473264694214,0.28246957063674927,0.5640101432800293,0.5640101432800293
18,0.0005,0.12205907715013681,0.03271598016612479,0.08194512975273686,0.0038833658271661443,0.003514601610744738,0.4651590883731842,0.9742769598960876,0.3409574329853058,0.2797052264213562,0.5558307766914368,0.5558307766914368
19,0.0005,0.12247328650068458,0.033308414238822075,0.08188123186095454,0.003912939636828331,0.00337070076066148,0.46286940574645996,0.974228024482727,0.3234540820121765,0.27697303891181946,0.5528075695037842,0.5529266595840454
20,0.0005,0.12077455813288389,0.032505868847809226,0.08116755272334016,0.0036766931039390453,0.0034244432280862176,0.48897382616996765,0.9787201285362244,0.39179542660713196,0.29041415452957153,0.5783253908157349,0.5783253908157349
21,0.0005,0.12023445238356459,0.03224934171275625,0.08096025830082228,0.0037194160467695094,0.0033054364700253005,0.4811156988143921,0.9805536270141602,0.3676247000694275,0.28811195492744446,0.5684192180633545,0.5684192180633545
22,0.0005,0.11842325024498103,0.03157013409779466,0.08024891702296946,0.0034335428369191663,0.003170656384588951,0.4682602286338806,0.9815398454666138,0.3462723195552826,0.27936410903930664,0.5555374026298523,0.5555374026298523
23,0.0005,0.11899232498885011,0.03172342146794647,0.08029918467170162,0.003665322193591963,0.0033043967651524265,0.4976016879081726,0.9809565544128418,0.40070563554763794,0.29554590582847595,0.5840715765953064,0.5840715765953064
24,0.0005,0.11687564844085506,0.031138227554038167,0.07887320625075221,0.003663246493148458,0.0032009681287086906,0.48264750838279724,0.9812687635421753,0.3672087490558624,0.2844183146953583,0.5688906908035278,0.5688906908035278
25,0.0005,0.11726141904930004,0.03099173405287414,0.07958175823554839,0.003498051960050801,0.0031898749993291863,0.4684206247329712,0.9794944524765015,0.33650508522987366,0.2772909700870514,0.5567121505737305,0.5567121505737305
26,0.0005,0.11601019170968103,0.030481483648959754,0.07823006972231623,0.0038956829687961016,0.0034029557328206493,0.4782675504684448,0.9772281050682068,0.3608214557170868,0.2845909595489502,0.5650729537010193,0.5650729537010193
27,0.0005,0.11779559519487055,0.031078938825978838,0.07970034301586727,0.0036521182121595974,0.00336419499821065,0.4787064492702484,0.9739824533462524,0.36976590752601624,0.2890058755874634,0.5687618255615234,0.5687618255615234
28,0.0005,0.11644358293144905,0.030898142467447053,0.07884616038948673,0.003497138138374404,0.0032021419169269857,0.47018444538116455,0.9709327816963196,0.33925798535346985,0.28162088990211487,0.5551488399505615,0.5551488399505615
29,0.0005,0.11627288413687055,0.030737435373206588,0.07931218054970916,0.003206577871315095,0.003016690498270462,0.48462939262390137,0.9734923243522644,0.3799370527267456,0.2908833920955658,0.5723852515220642,0.5723852515220642
30,5e-05,0.11588417411447022,0.03084416264993554,0.07864027356162427,0.0033065591862033407,0.0030931784239615085,0.47674617171287537,0.9814027547836304,0.3759196400642395,0.28616267442703247,0.5641643404960632,0.5641643404960632
31,5e-05,0.11405649747416258,0.030357540748293128,0.07714890332916922,0.003497909632721172,0.003052143961477702,0.4852864444255829,0.9801425337791443,0.3871311843395233,0.29394787549972534,0.5723214745521545,0.5723214745521545
32,5e-05,0.11385132399578049,0.03056402606720786,0.07712515043929474,0.0031606985454439127,0.003001449165794646,0.47668179869651794,0.9771600365638733,0.3688698709011078,0.28885912895202637,0.5661572217941284,0.5661572217941284
33,5e-05,0.11303429702631679,0.030024864172168104,0.07693363290115035,0.0030665733501220624,0.0030092268118310722,0.4782225787639618,0.981712281703949,0.3654205799102783,0.2876625955104828,0.5667591691017151,0.5667591691017151
