epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,970.898,1.95314,1.73138,0.55223,1e-05,0.01701,1e-05,0,1.28735,1.17188,0.41302,3.32998e-05,3.32998e-05,0.0667335
2,1943.07,1.6624,0.42624,0.39875,5e-05,0.02997,2e-05,0,1.15772,1.35843,0.22773,6.53138e-05,6.53138e-05,0.0334322
3,2842.23,1.51625,0.51143,0.33854,4e-05,0.0381,3e-05,1e-05,1.0497,1.10802,0.2214,9.60078e-05,9.60078e-05,0.000129576
4,3734.4,1.41499,0.54785,0.30549,0.33563,0.07313,0.01545,0.00417,0.91828,1.24764,0.18474,9.406e-05,9.406e-05,9.406e-05
5,4625.86,1.0476,0.90532,0.20761,0.67958,0.12415,0.03542,0.014,0.51671,2.68208,0.09174,9.208e-05,9.208e-05,9.208e-05
6,5517.1,0.84681,1.13139,0.15758,0.68033,0.12585,0.06231,0.02291,0.46211,3.94283,0.08041,9.01e-05,9.01e-05,9.01e-05
7,6408.66,0.72252,1.2017,0.12683,0.37804,0.46315,0.10859,0.04538,0.39678,3.16598,0.06624,8.812e-05,8.812e-05,8.812e-05
8,7299.95,0.72532,1.13362,0.13005,0.24194,0.57728,0.13839,0.05791,0.37672,4.20393,0.06116,8.614e-05,8.614e-05,8.614e-05
9,8191.6,0.66921,1.08671,0.11734,0.30855,0.57656,0.26538,0.11895,0.38623,2.2265,0.06282,8.416e-05,8.416e-05,8.416e-05
10,9083.56,0.66939,1.02934,0.11598,0.24109,0.6488,0.3161,0.13347,0.38827,2.01571,0.06323,8.218e-05,8.218e-05,8.218e-05
11,9973.88,0.65169,1.01138,0.11229,0.18047,0.65949,0.2486,0.11745,0.35132,4.52451,0.0552,8.02e-05,8.02e-05,8.02e-05
12,10862.5,0.63365,0.97737,0.1077,0.257,0.62747,0.34722,0.15389,0.39662,3.03167,0.06547,7.822e-05,7.822e-05,7.822e-05
13,11752.1,0.65017,0.93497,0.11208,0.34546,0.60622,0.41947,0.15968,0.42824,1.17177,0.06813,7.624e-05,7.624e-05,7.624e-05
14,12641.8,0.63236,0.98265,0.10592,0.26324,0.6203,0.36423,0.14489,0.42554,2.38221,0.06988,7.426e-05,7.426e-05,7.426e-05
15,13529.9,0.62315,0.96542,0.10274,0.29871,0.63367,0.38976,0.17511,0.3942,2.40806,0.06367,7.228e-05,7.228e-05,7.228e-05
16,14419.9,0.61132,0.93719,0.10079,0.26637,0.65882,0.38302,0.17818,0.37877,2.69171,0.06136,7.03e-05,7.03e-05,7.03e-05
17,15309,0.6233,0.97275,0.10338,0.28442,0.64788,0.39174,0.17587,0.37698,1.15299,0.06006,6.832e-05,6.832e-05,6.832e-05
18,16197.1,0.61488,0.87938,0.10086,0.40869,0.65695,0.50308,0.21712,0.39839,1.45059,0.06333,6.634e-05,6.634e-05,6.634e-05
19,17087.1,0.65945,0.87939,0.1105,0.41038,0.66523,0.44159,0.21077,0.3649,4.09015,0.05855,6.436e-05,6.436e-05,6.436e-05
20,17975.9,0.625,0.86813,0.10318,0.38413,0.64661,0.50807,0.24595,0.38144,1.58356,0.06163,6.238e-05,6.238e-05,6.238e-05
21,18865.1,0.63955,0.73504,0.10678,0.57964,0.80936,0.69775,0.32807,0.40412,1.26339,0.06607,6.04e-05,6.04e-05,6.04e-05
22,19755,0.64461,0.67611,0.10568,0.63175,0.81606,0.7419,0.35517,0.4034,1.07151,0.06526,5.842e-05,5.842e-05,5.842e-05
23,20644.3,0.64105,0.65469,0.10604,0.65179,0.84922,0.75298,0.33915,0.41808,1.05657,0.06973,5.644e-05,5.644e-05,5.644e-05
24,21532.5,0.63311,0.65829,0.10372,0.75761,0.78107,0.80202,0.35079,0.42538,0.77449,0.07244,5.446e-05,5.446e-05,5.446e-05
25,22420.1,0.62148,0.64448,0.10079,0.74985,0.82774,0.81184,0.37735,0.40369,0.77086,0.06629,5.248e-05,5.248e-05,5.248e-05
26,23309.2,0.63765,0.6352,0.10518,0.69709,0.8951,0.8035,0.38999,0.39011,0.70519,0.06311,5.05e-05,5.05e-05,5.05e-05
27,24197.7,0.60764,0.63601,0.09801,0.59871,0.86395,0.72914,0.3571,0.38832,1.07544,0.06294,4.852e-05,4.852e-05,4.852e-05
28,25085.5,0.60344,0.63074,0.09586,0.74567,0.84984,0.84367,0.417,0.38545,0.85436,0.06274,4.654e-05,4.654e-05,4.654e-05
29,25974.4,0.60452,0.60776,0.09562,0.78031,0.81536,0.84261,0.4179,0.38656,0.68077,0.0627,4.456e-05,4.456e-05,4.456e-05
30,26863.5,0.6012,0.61542,0.09705,0.68286,0.90934,0.81633,0.38831,0.39822,0.64059,0.06477,4.258e-05,4.258e-05,4.258e-05
31,27751.6,0.60336,0.59989,0.09706,0.80737,0.82991,0.87413,0.40197,0.40768,0.71244,0.06689,4.06e-05,4.06e-05,4.06e-05
32,28639.2,0.60284,0.60596,0.09546,0.80216,0.86698,0.87546,0.41414,0.39863,0.58542,0.06476,3.862e-05,3.862e-05,3.862e-05
33,29572.8,0.59436,0.59564,0.09495,0.77687,0.86409,0.87274,0.40991,0.39889,0.72964,0.06544,3.664e-05,3.664e-05,3.664e-05
34,30529.7,0.57906,0.58764,0.09168,0.76548,0.88846,0.87481,0.41686,0.39875,0.71173,0.06522,3.466e-05,3.466e-05,3.466e-05
35,31453.7,0.58405,0.56979,0.0916,0.82726,0.84304,0.89632,0.45126,0.38299,0.5813,0.06082,3.268e-05,3.268e-05,3.268e-05
36,32365.2,0.5807,0.57234,0.09124,0.80713,0.88281,0.89404,0.4382,0.38976,0.56081,0.06353,3.07e-05,3.07e-05,3.07e-05
37,33278,0.57386,0.57021,0.08888,0.8348,0.86868,0.90023,0.45276,0.38524,0.53289,0.0612,2.872e-05,2.872e-05,2.872e-05
38,34189,0.57479,0.56853,0.08996,0.82167,0.88165,0.91628,0.47116,0.37355,0.5635,0.05966,2.674e-05,2.674e-05,2.674e-05
39,35100.6,0.55352,0.56169,0.08638,0.80191,0.8946,0.89754,0.44735,0.3871,0.57914,0.06187,2.476e-05,2.476e-05,2.476e-05
40,36013.7,0.56595,0.55769,0.08905,0.81788,0.87973,0.90771,0.46014,0.38222,0.58934,0.0614,2.278e-05,2.278e-05,2.278e-05
41,36924.9,0.502,0.59179,0.08263,0.81639,0.90454,0.90384,0.45425,0.37917,0.53364,0.06002,2.08e-05,2.08e-05,2.08e-05
42,37836.9,0.50501,0.56303,0.08393,0.81163,0.89977,0.90212,0.45516,0.38017,0.4774,0.06075,1.882e-05,1.882e-05,1.882e-05
43,38748.7,0.49801,0.57815,0.083,0.82141,0.8954,0.91086,0.45473,0.38219,0.55979,0.06014,1.684e-05,1.684e-05,1.684e-05
44,39661.1,0.4966,0.57142,0.082,0.81325,0.90413,0.90861,0.46932,0.37103,0.4424,0.05853,1.486e-05,1.486e-05,1.486e-05
45,40573.4,0.49929,0.55263,0.08267,0.85643,0.888,0.91745,0.46831,0.37314,0.49555,0.05968,1.288e-05,1.288e-05,1.288e-05
46,41485.6,0.48799,0.55909,0.08061,0.85353,0.89089,0.91788,0.4743,0.36867,0.44325,0.05854,1.09e-05,1.09e-05,1.09e-05
47,42400.3,0.48751,0.55538,0.08109,0.8289,0.91029,0.92549,0.47473,0.37323,0.44784,0.05945,8.92e-06,8.92e-06,8.92e-06
48,43314.5,0.49205,0.53922,0.0817,0.82951,0.90925,0.92458,0.4748,0.37246,0.45254,0.05841,6.94e-06,6.94e-06,6.94e-06
49,44228.6,0.49075,0.5401,0.08118,0.82532,0.92198,0.92325,0.47376,0.37223,0.45528,0.05881,4.96e-06,4.96e-06,4.96e-06
50,45140.9,0.48706,0.54752,0.08028,0.82372,0.92233,0.92614,0.47821,0.36959,0.45442,0.05821,2.98e-06,2.98e-06,2.98e-06
