epoch,lr,train_loss,train_classification,train_bbox_regression,val_map,val_map_50,val_map_75,val_mar_1,val_mar_10,val_mar_100
1,0.001,3750060.9621567815,358773.3441148898,3391287.621268199,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,8671770.225324987,8563842.173074158,107928.05329831531,0.0,0.0,0.0,0.0,0.0,0.0
3,0.001,1.7180814081664337,1.1025815595631994,0.6154998477160205,0.0,0.0,0.0,0.0,0.0,0.0
4,0.001,1.71735007611276,1.1017922996990737,0.6155577758894237,0.0,0.0,0.0,0.0,0.0,0.0
5,0.001,1.7176211123860092,1.1021805801636795,0.6154405336338064,0.0,0.0,0.0,0.0,0.0,0.0
6,0.001,1.7168506109666115,1.101223809793289,0.6156268033913572,0.0,0.0,0.0,0.0,0.0,0.0
7,0.001,1.7173834714902432,1.1018501331422261,0.615533338791624,0.0,0.0,0.0,0.0,0.0,0.0
8,0.001,1.7171993854081355,1.10172662522054,0.6154727580502165,0.0,0.0,0.0,0.0,0.0,0.0
9,0.001,1.7172343114716113,1.1016938873492332,0.6155404230738525,0.0,0.0,0.0,0.0,0.0,0.0
10,0.001,1.7175419630636544,1.101928046494924,0.615613914995942,0.0,0.0,0.0,0.0,0.0,0.0
11,0.001,1.7175041908178987,1.101922824353746,0.6155813685208761,0.0,0.0,0.0,0.0,0.0,0.0
