epoch,lr,train_loss,train_classification,train_bbox_regression,val_map,val_map_50,val_map_75,val_mar_1,val_mar_10,val_mar_100
1,0.001,1.264575284143229,0.9591368848283486,0.3054383995849921,6.7110531745129265e-06,2.7023721486330032e-05,7.903446430646e-07,0.0,0.0022849461529403925,0.013844085857272148
2,0.001,1.188910136860303,0.9310100003251617,0.25790013694406033,0.0022041811607778072,0.005809060763567686,0.00038475231849588454,0.02244623564183712,0.0693548396229744,0.10716480016708374
3,0.001,1.0660379597915324,0.8223268256934447,0.24371113467582642,0.030878886580467224,0.08354955166578293,0.016556864604353905,0.1607600450515747,0.36136382818222046,0.39463376998901367
4,0.001,0.8776365502888462,0.6376520329476724,0.2399845168872362,0.06025831773877144,0.1463117152452469,0.03121400624513626,0.2238641083240509,0.44281503558158875,0.45565733313560486
5,0.001,0.785948282574779,0.5570237266888312,0.22892455720086652,0.09096074104309082,0.21338951587677002,0.05168219655752182,0.2306147962808609,0.47072798013687134,0.4750130772590637
6,0.001,0.7673532898535,0.541148029241527,0.22620526033810978,0.0961650013923645,0.21579772233963013,0.06374981999397278,0.2402781844139099,0.4811367988586426,0.48613661527633667
7,0.001,0.6977333073004375,0.4765058127339753,0.2212274942438288,0.09974446892738342,0.22920472919940948,0.04980139806866646,0.23736640810966492,0.48202791810035706,0.489185631275177
8,0.001,0.6736467425324105,0.45394016466547116,0.21970657730045515,0.0948784276843071,0.2261858433485031,0.04685310274362564,0.22894889116287231,0.4648110568523407,0.47312119603157043
9,0.001,0.6836495950409143,0.4639436339740036,0.21970596010276197,0.11838608980178833,0.2598485052585602,0.07917238771915436,0.25326409935951233,0.5061567425727844,0.5130833387374878
10,0.001,0.6291015135482599,0.4125354573025564,0.2165660568271939,0.16459494829177856,0.35772785544395447,0.12289702147245407,0.2664795517921448,0.5149819254875183,0.5206794738769531
11,0.001,0.6719386288624215,0.45559535324498485,0.21634327632647987,0.19869935512542725,0.47235190868377686,0.11380329728126526,0.2522914409637451,0.4962540864944458,0.501531720161438
12,0.001,0.5953734668960264,0.38400481283394594,0.2113686536681676,0.19056910276412964,0.4640648066997528,0.0930304229259491,0.2536681592464447,0.48184341192245483,0.4888363182544708
13,0.001,0.5678572177451783,0.35644307122579877,0.21141414674822417,0.18360574543476105,0.4552753269672394,0.08879035711288452,0.22376228868961334,0.46501094102859497,0.4842813014984131
14,0.001,0.632160448933476,0.42101499585346636,0.21114545244599758,0.18173779547214508,0.4100293517112732,0.10993552953004837,0.2601355314254761,0.5093023777008057,0.5174350142478943
15,0.0001,0.571769984701624,0.3632913824988666,0.20847860248975103,0.22596873342990875,0.5252152681350708,0.13195092976093292,0.24855193495750427,0.4998122453689575,0.5072218775749207
16,0.0001,0.5605548722116128,0.3616336450986152,0.19892122733246342,0.2623753249645233,0.6145166158676147,0.15353228151798248,0.26588016748428345,0.5111963152885437,0.5163395404815674
17,0.0001,0.4921613661018983,0.29487241137573966,0.19728895503378588,0.28399139642715454,0.635164737701416,0.18369151651859283,0.26969748735427856,0.5244970321655273,0.5286563634872437
18,0.0001,0.46324987211128676,0.27118786453472943,0.19206200794045777,0.2837965190410614,0.6306419968605042,0.18390296399593353,0.27128949761390686,0.5235140323638916,0.5275349617004395
19,0.0001,0.4495214556249127,0.2548784728706903,0.1946429827260857,0.3127938508987427,0.6873319745063782,0.21374914050102234,0.2703082859516144,0.5331730842590332,0.5367487072944641
20,0.0001,0.4631940958813238,0.27081381742657734,0.19238027847350425,0.30100977420806885,0.6649583578109741,0.20921020209789276,0.2746877372264862,0.5315857529640198,0.5355734825134277
21,0.0001,0.4404768257215244,0.24847540735057955,0.1920014185360131,0.33228054642677307,0.7443584203720093,0.22648029029369354,0.2704119384288788,0.5262835621833801,0.5288316607475281
22,0.0001,0.42350543830037296,0.23336484657426074,0.1901405913678391,0.32273977994918823,0.7046768665313721,0.22153735160827637,0.27466681599617004,0.536805272102356,0.5393136739730835
23,0.0001,0.4336311042511391,0.23965162304037768,0.19397948137770546,0.34094470739364624,0.7527042627334595,0.23142467439174652,0.27495110034942627,0.5319015979766846,0.5351368188858032
24,0.0001,0.40975271077021913,0.21908680228038135,0.19066590829663285,0.3539409935474396,0.7810507416725159,0.24459688365459442,0.2735162675380707,0.530721127986908,0.5326594114303589
25,0.0001,0.4152788520234469,0.22431043100666184,0.19096842165454878,0.35751307010650635,0.7918781638145447,0.23762553930282593,0.2735738754272461,0.530330240726471,0.5338691473007202
26,0.0001,0.41419913298811495,0.22201889051238877,0.19218024223562694,0.37588751316070557,0.8255472779273987,0.24683015048503876,0.275204062461853,0.5317598581314087,0.5362948179244995
27,0.0001,0.40504596359026124,0.21488159591536538,0.19016436777056045,0.3862062990665436,0.8388715386390686,0.26933109760284424,0.2725054919719696,0.5335076451301575,0.5361027121543884
28,0.0001,0.4166471038945957,0.22719326004862395,0.18945384374467988,0.3770104944705963,0.8201009631156921,0.2618928551673889,0.2742564082145691,0.5326674580574036,0.5348422527313232
29,0.0001,0.4042870120031896,0.21320654645051962,0.19108046530131606,0.39093834161758423,0.8491331338882446,0.27397385239601135,0.2786142826080322,0.5342351198196411,0.5373288989067078
30,1e-05,0.40307152813369895,0.2140918268793059,0.18897970151512583,0.4025384485721588,0.8645899295806885,0.28911200165748596,0.27917906641960144,0.5429242849349976,0.5455313324928284
31,1e-05,0.38484615039864456,0.19506638531253298,0.189779764639677,0.3975617289543152,0.8533933162689209,0.2804211676120758,0.2774367928504944,0.5404019355773926,0.5434697270393372
32,1e-05,0.3831729374024998,0.19408914359513396,0.18908379363479452,0.3907235562801361,0.8426051139831543,0.2715646028518677,0.27724239230155945,0.5377134680747986,0.5412646532058716
33,1e-05,0.37291132383825104,0.1868462352202183,0.18606508938710076,0.40253946185112,0.8658246397972107,0.27694380283355713,0.2774067223072052,0.5401021242141724,0.5418136715888977
34,1e-05,0.373407162520528,0.18601447810050314,0.18739268442190066,0.4071877598762512,0.8690329194068909,0.2869350016117096,0.27950936555862427,0.5420711636543274,0.5459398627281189
35,1e-05,0.38005531190032626,0.19127300042895393,0.1887823109817949,0.4072290062904358,0.8750105500221252,0.28813600540161133,0.28078946471214294,0.5411974191665649,0.5448329448699951
36,1e-05,0.37678826550229977,0.18827780441560174,0.18851046144121963,0.3998858630657196,0.8643617630004883,0.27658531069755554,0.2783409655094147,0.5376703143119812,0.5428473353385925
37,1e-05,0.3718613585839864,0.18486338837235447,0.1869979700840792,0.40162789821624756,0.8700041770935059,0.2746991515159607,0.2776488959789276,0.5361084938049316,0.5392873883247375
38,1e-05,0.36934113017286196,0.1821782367434334,0.18716289302988834,0.40642374753952026,0.8792283535003662,0.2817522883415222,0.2786576449871063,0.5382875204086304,0.5410397052764893
39,1e-05,0.3728121249056782,0.1847356291940813,0.1880764959291869,0.40509161353111267,0.8739579916000366,0.2835392951965332,0.2813063859939575,0.5393319129943848,0.5436029434204102
40,1e-05,0.3695701519355613,0.18163156741245276,0.1879385851646238,0.41186511516571045,0.8869125247001648,0.2908553183078766,0.2800956666469574,0.5440664887428284,0.5457246899604797
41,1e-05,0.3687010903529493,0.18293096345107465,0.185770126748061,0.4138104021549225,0.8885572552680969,0.2941229045391083,0.28143414855003357,0.5432915091514587,0.5468136668205261
42,1e-05,0.36744143515131233,0.18168747216962045,0.1857539626590585,0.40030381083488464,0.8632724285125732,0.28146761655807495,0.2788010835647583,0.5391433835029602,0.5435561537742615
43,1e-05,0.36654242056994984,0.17995202079300898,0.1865903994880714,0.4062560796737671,0.8781050443649292,0.28317856788635254,0.2809136211872101,0.5415459275245667,0.5445457100868225
44,1e-05,0.36640834601099853,0.18008283094112823,0.1863255151092616,0.4104626476764679,0.8870381116867065,0.28689315915107727,0.28130459785461426,0.5415756702423096,0.5453860759735107
45,1.0000000000000002e-06,0.3641764234351923,0.17970328096090277,0.18447314208600396,0.4080660343170166,0.8809308409690857,0.28565582633018494,0.2799912989139557,0.5426008701324463,0.5469869375228882
46,1.0000000000000002e-06,0.37281682228525087,0.18377606808850383,0.18904075472008847,0.41057831048965454,0.8866377472877502,0.28224924206733704,0.27943098545074463,0.5426769256591797,0.5463473200798035
47,1.0000000000000002e-06,0.37412088489476947,0.1835273779864908,0.19059350729844002,0.410645067691803,0.8858035206794739,0.28672611713409424,0.2802277207374573,0.542771577835083,0.5464419722557068
48,1.0000000000000002e-06,0.3708890244394751,0.1821112615081659,0.1887777629463154,0.40817195177078247,0.8829473853111267,0.28481221199035645,0.27908042073249817,0.5409471392631531,0.5453381538391113
49,1.0000000000000002e-06,0.37116932324232293,0.18321358959667933,0.18795573383884848,0.40972772240638733,0.8866339325904846,0.28452157974243164,0.27976781129837036,0.5414637923240662,0.5458548069000244
50,1.0000000000000002e-06,0.3674068841567377,0.18016398365047553,0.18724290095832413,0.41008931398391724,0.8861609101295471,0.28619274497032166,0.27929407358169556,0.5415382385253906,0.5459292531013489
51,1.0000000000000002e-06,0.37069458966091845,0.1817064772600126,0.18898811250594927,0.41043514013290405,0.887040913105011,0.2867365777492523,0.2791953384876251,0.5414443612098694,0.5458353757858276
