epoch,lr,train_loss,train_classification,train_bbox_regression,val_map,val_map_50,val_map_75,val_mar_1,val_mar_10,val_mar_100
1,0.001,1.3941272826263191,0.9325458176756674,0.4615814665263033,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,1.2546186710708782,0.8334631336175753,0.4211555357951172,0.0,0.0,0.0,0.0,0.0,0.0
3,0.001,1.1112606948746175,0.7629361070414924,0.3483245882307895,0.011694040149450302,0.05069991946220398,0.0016725860768929124,0.0716085433959961,0.133689284324646,0.13953232765197754
4,0.001,0.9533888156162829,0.6408739925173654,0.3125148237967059,0.03379134461283684,0.1104770228266716,0.005935217719525099,0.15413951873779297,0.2759432792663574,0.2759432792663574
5,0.001,0.9181984196654319,0.6273828453355266,0.29081557536533353,0.046417150646448135,0.14295217394828796,0.010808713734149933,0.18276432156562805,0.39669251441955566,0.4032289981842041
6,0.001,0.8125130473345346,0.5404504107903175,0.2720626357638944,0.05241842195391655,0.1511046439409256,0.015567930415272713,0.20312702655792236,0.39857426285743713,0.3989887833595276
7,0.001,0.7130382123758711,0.4537913487184969,0.25924686319968493,0.15448519587516785,0.36864444613456726,0.08436817675828934,0.24338911473751068,0.47069960832595825,0.47111976146698
8,0.001,0.7111443604707478,0.45743526834975795,0.25370909247738715,0.08209952712059021,0.2233162373304367,0.033519551157951355,0.2205003798007965,0.44181153178215027,0.4450373351573944
9,0.001,0.5921353539151832,0.35290978223831965,0.23922557224709942,0.11706026643514633,0.3220345079898834,0.03907660394906998,0.2345975637435913,0.45498302578926086,0.45498302578926086
10,0.001,0.5682265394154377,0.33154692357801807,0.23667961612628907,0.17090341448783875,0.4237610995769501,0.08076601475477219,0.22718201577663422,0.44757476449012756,0.45149609446525574
11,0.001,0.5853368343066984,0.35210708593846507,0.23322974719024617,0.08773766458034515,0.2613258957862854,0.02323250100016594,0.16017626225948334,0.33468732237815857,0.3378593623638153
12,0.001,0.5890692429690203,0.3545650928154633,0.2345041499434701,0.2530496418476105,0.5805168747901917,0.12934599816799164,0.26054245233535767,0.5109362006187439,0.5109362006187439
13,0.001,0.5067982915145264,0.2817933078538036,0.22500498300982866,0.15866030752658844,0.3733801245689392,0.0922866240143776,0.22790467739105225,0.40264442563056946,0.403324693441391
14,0.001,0.5043662043210037,0.28787627131002885,0.21648993331485045,0.35324132442474365,0.8111851811408997,0.19537515938282013,0.25959235429763794,0.5080227851867676,0.5093274116516113
15,0.0001,0.527905233839901,0.30993785790703754,0.2179673763755465,0.2939917743206024,0.7221476435661316,0.11797645688056946,0.23913609981536865,0.47015896439552307,0.47015896439552307
