epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.671,2.47155,4.21511,1.57385,0.24552,0.31227,0.22545,0.09813,1.8203,11.0355,1.17411,0.000331984,0.000331984,0.0671336
2,868.539,2.12073,2.64002,1.38274,0.42935,0.37368,0.29183,0.12495,1.68107,37.6586,1.09904,0.000652144,0.000652144,0.0341204
3,1301.9,2.03277,2.20412,1.35569,0.5749,0.66889,0.59203,0.25596,1.63601,19.7633,1.09099,0.000959104,0.000959104,0.00109406
4,1700.57,1.96104,1.90997,1.31279,0.61152,0.74958,0.65271,0.30626,1.53532,12.573,1.05499,0.0009406,0.0009406,0.0009406
5,2084.98,1.89172,1.78168,1.27887,0.67762,0.78139,0.70416,0.30066,1.62768,14.7663,1.08248,0.0009208,0.0009208,0.0009208
6,2449.13,1.88932,1.73177,1.28273,0.6659,0.78422,0.70617,0.32006,1.54062,15.1011,1.04617,0.000901,0.000901,0.000901
7,2823.15,1.8601,1.63863,1.26078,0.66229,0.7759,0.70114,0.33288,1.48053,21.7621,1.01823,0.0008812,0.0008812,0.0008812
8,3176.74,1.84117,1.60837,1.26005,0.67343,0.83929,0.73594,0.34133,1.50601,17.9742,1.03914,0.0008614,0.0008614,0.0008614
9,3527.43,1.83395,1.57965,1.24509,0.71787,0.7947,0.77357,0.34963,1.51188,15.0036,1.04247,0.0008416,0.0008416,0.0008416
10,3877.67,1.81553,1.50937,1.2476,0.72974,0.86503,0.76792,0.3417,1.52523,19.2496,1.05271,0.0008218,0.0008218,0.0008218
11,4224.22,1.8131,1.47929,1.23524,0.70894,0.86231,0.79799,0.34142,1.57298,17.1457,1.07196,0.000802,0.000802,0.000802
12,4575.53,1.79057,1.47083,1.23458,0.72004,0.84019,0.80208,0.36392,1.5538,17.6891,1.05304,0.0007822,0.0007822,0.0007822
13,4945.12,1.79806,1.44678,1.23321,0.82176,0.82829,0.86003,0.40745,1.47082,8.12903,1.01535,0.0007624,0.0007624,0.0007624
14,5308.63,1.79043,1.41893,1.22664,0.81941,0.8254,0.88198,0.41924,1.47389,3.2995,1.0182,0.0007426,0.0007426,0.0007426
15,5673.34,1.77399,1.3855,1.21191,0.86281,0.84931,0.89434,0.44108,1.43047,7.24318,1.01141,0.0007228,0.0007228,0.0007228
16,6015.95,1.77605,1.37285,1.22232,0.89751,0.81407,0.89998,0.44531,1.43284,2.15335,1.00759,0.000703,0.000703,0.000703
17,6359.56,1.76409,1.34053,1.20995,0.86179,0.86442,0.9103,0.45603,1.43498,2.86608,0.99838,0.0006832,0.0006832,0.0006832
18,6707.64,1.7611,1.34131,1.21599,0.89047,0.90281,0.93931,0.46048,1.4511,3.69172,1.00932,0.0006634,0.0006634,0.0006634
19,7059.26,1.74791,1.33047,1.20406,0.83915,0.89316,0.92559,0.44992,1.4386,12.2472,1.00354,0.0006436,0.0006436,0.0006436
20,7405.33,1.73341,1.2819,1.20006,0.88218,0.90706,0.92953,0.4448,1.49338,5.32053,1.02686,0.0006238,0.0006238,0.0006238
21,7756.04,1.73407,1.26624,1.20134,0.93486,0.90051,0.95043,0.48867,1.40426,2.40306,0.98678,0.000604,0.000604,0.000604
22,8099.75,1.72182,1.26223,1.19602,0.91582,0.86883,0.93188,0.44276,1.51476,1.13288,1.02771,0.0005842,0.0005842,0.0005842
23,8436.5,1.72044,1.239,1.18853,0.92712,0.87589,0.94338,0.48252,1.40675,2.53369,0.98586,0.0005644,0.0005644,0.0005644
24,8773.89,1.70395,1.18845,1.17626,0.90376,0.86021,0.9082,0.4448,1.44873,1.40316,1.00514,0.0005446,0.0005446,0.0005446
25,9108.6,1.71238,1.20746,1.19314,0.93054,0.89349,0.94942,0.47381,1.46235,1.34736,1.00497,0.0005248,0.0005248,0.0005248
26,9446.57,1.68328,1.17525,1.17086,0.94672,0.90871,0.95111,0.48495,1.41313,1.34029,0.98597,0.000505,0.000505,0.000505
27,9785.38,1.70385,1.17105,1.18508,0.94384,0.90161,0.94443,0.49279,1.3829,1.17756,0.97612,0.0004852,0.0004852,0.0004852
28,10118,1.69717,1.1772,1.17391,0.94465,0.90118,0.94937,0.48231,1.3958,5.80523,0.98631,0.0004654,0.0004654,0.0004654
29,10455.9,1.69948,1.15382,1.18342,0.95316,0.91706,0.95667,0.47088,1.4345,1.33233,0.99702,0.0004456,0.0004456,0.0004456
30,10804.8,1.66919,1.13468,1.16599,0.92764,0.88065,0.9451,0.47306,1.40701,0.94022,0.98891,0.0004258,0.0004258,0.0004258
31,11144.1,1.67658,1.1457,1.15954,0.95542,0.93043,0.96261,0.50475,1.39512,2.4034,0.97436,0.000406,0.000406,0.000406
32,11482,1.68353,1.11914,1.16951,0.96363,0.94369,0.9644,0.48682,1.39958,1.25581,0.98189,0.0003862,0.0003862,0.0003862
33,11821.5,1.68573,1.12513,1.17473,0.95683,0.92836,0.95667,0.49163,1.40664,0.97274,0.98398,0.0003664,0.0003664,0.0003664
34,12162.7,1.67775,1.10383,1.15832,0.94781,0.91181,0.95599,0.48742,1.41637,1.08108,0.98712,0.0003466,0.0003466,0.0003466
35,12501.7,1.65426,1.0903,1.15982,0.96078,0.93692,0.96664,0.5059,1.388,2.22092,0.97387,0.0003268,0.0003268,0.0003268
36,12843.9,1.66861,1.11435,1.16269,0.96777,0.94224,0.96844,0.5075,1.36792,1.76967,0.97317,0.000307,0.000307,0.000307
37,13184.8,1.66792,1.09112,1.16767,0.97285,0.92625,0.96721,0.50457,1.40151,0.90375,0.97916,0.0002872,0.0002872,0.0002872
38,13525.9,1.64054,1.04444,1.14479,0.96816,0.93978,0.96621,0.50312,1.36856,1.1453,0.96866,0.0002674,0.0002674,0.0002674
39,13868.4,1.64933,1.04518,1.15323,0.96482,0.94309,0.96253,0.47722,1.44057,2.10123,0.99944,0.0002476,0.0002476,0.0002476
40,14208,1.64321,1.05297,1.15828,0.96868,0.93735,0.96197,0.50989,1.37763,0.76514,0.96964,0.0002278,0.0002278,0.0002278
41,14545.2,1.5598,0.84728,1.17713,0.95994,0.94996,0.96525,0.48644,1.4079,1.3657,0.98391,0.000208,0.000208,0.000208
42,14877.1,1.5153,0.77942,1.15412,0.96739,0.95553,0.96995,0.49727,1.40653,1.15946,0.98097,0.0001882,0.0001882,0.0001882
43,15206.7,1.51873,0.77805,1.15016,0.96853,0.96112,0.96978,0.50209,1.38987,0.98965,0.97618,0.0001684,0.0001684,0.0001684
44,15536.6,1.51777,0.75664,1.15317,0.96781,0.96412,0.97308,0.51219,1.35559,0.78184,0.96234,0.0001486,0.0001486,0.0001486
45,15870.9,1.51096,0.7478,1.14782,0.97772,0.95497,0.97656,0.52039,1.33765,0.92397,0.9577,0.0001288,0.0001288,0.0001288
46,16199.8,1.50284,0.73842,1.14626,0.97373,0.96497,0.97359,0.50534,1.36788,1.81173,0.96822,0.000109,0.000109,0.000109
47,16526.8,1.50141,0.72612,1.14257,0.96786,0.96747,0.97557,0.51635,1.35145,0.77522,0.95774,8.92e-05,8.92e-05,8.92e-05
48,16857.6,1.50143,0.71531,1.142,0.97259,0.96653,0.97429,0.51341,1.35783,0.76539,0.96012,6.94e-05,6.94e-05,6.94e-05
49,17185,1.48363,0.71425,1.13726,0.97591,0.95125,0.97067,0.51366,1.36407,0.82316,0.96285,4.96e-05,4.96e-05,4.96e-05
50,17511.2,1.47905,0.71314,1.12727,0.97116,0.964,0.97466,0.51889,1.35026,0.74909,0.9566,2.98e-05,2.98e-05,2.98e-05
