epoch,lr,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_map,val_map_50,val_map_75,val_mar_1,val_mar_10,val_mar_100
1,0.005,0.23833739679505578,0.09513170270236117,0.12266798060945006,0.01472507909423093,0.005812634900646061,0.3113890588283539,0.7526650428771973,0.16733752191066742,0.2480841726064682,0.4838457405567169,0.4838457405567169
2,0.005,0.187188825878612,0.059017839562991954,0.12093138083354134,0.003415838045485797,0.0038237668062150636,0.34024539589881897,0.8173131942749023,0.1726825088262558,0.25017887353897095,0.48367658257484436,0.48367658257484436
3,0.005,0.1727391242013057,0.05117925622266945,0.11599350514496261,0.002187074726916231,0.0033792876753271743,0.37978261709213257,0.918106734752655,0.17170850932598114,0.25519412755966187,0.48682457208633423,0.48682457208633423
4,0.005,0.1602291346369133,0.04493825969474778,0.11024681580780976,0.0019106564641269421,0.0031334025188038983,0.4438258707523346,0.9532448649406433,0.24769774079322815,0.2790343761444092,0.5377060770988464,0.5377060770988464
5,0.005,0.1535119001152442,0.04172591379658888,0.10718515694464022,0.001642739893003071,0.002958089420710628,0.41212043166160583,0.9554088711738586,0.2042894810438156,0.26506590843200684,0.5071535110473633,0.5071535110473633
6,0.005,0.14625690563338972,0.03971755292739303,0.102141328978522,0.0015891318606811341,0.0028088919115776836,0.43088316917419434,0.9522954821586609,0.2771929204463959,0.27474844455718994,0.5267578363418579,0.5267578363418579
7,0.005,0.13775615036592623,0.03635674859805094,0.09746443792804325,0.001346398758236436,0.0025885649425757104,0.4649961590766907,0.9561221599578857,0.33634650707244873,0.2902882397174835,0.5572976469993591,0.5572976469993591
8,0.005,0.1324849915592242,0.03442523595412737,0.09444490719909245,0.001130578737952845,0.0024842694403133204,0.4489899277687073,0.9641007781028748,0.2975037097930908,0.2797183692455292,0.5409564971923828,0.5409564971923828
9,0.005,0.12871179273230102,0.03355145469225365,0.09160549489383596,0.0011128619348220335,0.0024419814299868315,0.46360886096954346,0.9667369723320007,0.32764914631843567,0.2860475480556488,0.5503168702125549,0.5503168702125549
10,0.005,0.1238520535042984,0.031708476510441,0.08856173904100574,0.001173855088419522,0.0024079826351112504,0.4049737751483917,0.9343011975288391,0.2365560531616211,0.2600591480731964,0.5021837949752808,0.5021837949752808
11,0.005,0.11955474446689915,0.031554998778376996,0.08467143331302662,0.0011227695842429223,0.002205542932386403,0.45853206515312195,0.9578559398651123,0.3222973346710205,0.28659307956695557,0.549058198928833,0.549058198928833
12,0.005,0.11683726370098277,0.02991895139740718,0.08382290546817017,0.0009325228158874256,0.0021628840202873633,0.4735061228275299,0.9616555571556091,0.37397316098213196,0.2905600666999817,0.5614293217658997,0.5614293217658997
13,0.005,0.10882737176058568,0.027515006395364472,0.0783168104090817,0.0009393455210339498,0.002056209405829544,0.46152937412261963,0.9716113209724426,0.33136171102523804,0.2866177260875702,0.5492109656333923,0.5492109656333923
14,0.005,0.10901635800266014,0.028901561602062854,0.07696270283024612,0.001075832790380411,0.0020762607362930273,0.4301362633705139,0.966724693775177,0.2581499516963959,0.27190858125686646,0.5203521847724915,0.5203521847724915
15,0.0005,0.10460805095833504,0.02704250113851009,0.07458838580545762,0.0009805238814650512,0.0019966400379832702,0.4628766179084778,0.9645309448242188,0.334688276052475,0.2868450880050659,0.5518194437026978,0.5518194437026978
16,0.0005,0.08485896153983258,0.022415595912034104,0.06017912531947794,0.0006707722399055991,0.001593467814708961,0.47960031032562256,0.9773565530776978,0.3793199360370636,0.2938794791698456,0.5680587887763977,0.5680587887763977
17,0.0005,0.07391530716011427,0.019571790631348406,0.05237414639523817,0.0005593149232151022,0.0014100550742858768,0.49083825945854187,0.9810085892677307,0.405295729637146,0.30240604281425476,0.5759738087654114,0.5759738087654114
18,0.0005,0.06840411483845697,0.018353023683424376,0.04822361263496218,0.0005238445762544636,0.0013036335914962058,0.4908085763454437,0.9782371520996094,0.4151570796966553,0.3001459240913391,0.5758513808250427,0.5758513808250427
19,0.0005,0.06363818963027343,0.017165671996685533,0.044739921969077424,0.0004979470574561026,0.0012346484396578811,0.48188599944114685,0.9796978235244751,0.37277698516845703,0.29740679264068604,0.5675032734870911,0.5675032734870911
20,0.0005,0.05921277319304345,0.016178693026498856,0.04145986223166615,0.00042319124216806566,0.0011510264506034342,0.4947640895843506,0.9826400279998779,0.404459685087204,0.3034369945526123,0.5791983604431152,0.5791983604431152
21,0.0005,0.055356045592621285,0.015242179495555397,0.03857544251466273,0.00042764190438608916,0.0011107817423961028,0.4908599555492401,0.9742254018783569,0.40128767490386963,0.3012586534023285,0.574549674987793,0.574549674987793
22,0.0005,0.0524649395668697,0.014623790868875816,0.0363823848799732,0.00039390813618234133,0.0010648555863587955,0.49145054817199707,0.9789746403694153,0.39953771233558655,0.3036644756793976,0.5771615505218506,0.5771615505218506
23,0.0005,0.049214972411015065,0.013998555911898103,0.0338350165195009,0.0003881292901727444,0.0009932706515385387,0.49609440565109253,0.9776332974433899,0.40902239084243774,0.3037922978401184,0.5808875560760498,0.5808875560760498
24,0.0005,0.04661393347620675,0.013465714585931722,0.031793663685030914,0.0004029803740497597,0.0009515747924112319,0.49622270464897156,0.9754226207733154,0.4119786024093628,0.30107736587524414,0.5795331597328186,0.5795331597328186
25,0.0005,0.044210605228822475,0.012974900811111549,0.029936538769583118,0.00038111174820224994,0.0009180540113290397,0.48650938272476196,0.9740903973579407,0.37939825654029846,0.3008407950401306,0.574370801448822,0.574370801448822
26,0.0005,0.04253122222402076,0.01262476780261443,0.028639122565893113,0.0003842280749127823,0.0008831036981917868,0.4894357919692993,0.9809461832046509,0.38645654916763306,0.30206575989723206,0.5760471820831299,0.5760471820831299
27,0.0005,0.03982626316028583,0.011881780061618873,0.026708548267565156,0.0003827553885733434,0.0008531794047775506,0.4911419153213501,0.978107750415802,0.41216787695884705,0.30180153250694275,0.5763885378837585,0.5763885378837585
28,0.0005,0.03892565227004869,0.011634903098890335,0.02609318251027993,0.0003712575412029447,0.0008263090772772763,0.49533259868621826,0.9762758016586304,0.41305187344551086,0.3079144060611725,0.5827659368515015,0.5827659368515015
29,0.0005,0.0365387824053507,0.011036569453962992,0.024364015113394463,0.00033683715470566407,0.0008013606199307006,0.4982295632362366,0.979089617729187,0.4204239547252655,0.3063470423221588,0.582263171672821,0.582263171672821
