epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,976.611,1.80299,0.64328,0.50049,2e-05,0.02619,1e-05,0,1.17274,0.83402,0.31015,3.32998e-05,3.32998e-05,0.0667335
2,1943.78,1.52945,0.53143,0.36951,0.00128,0.04945,0.00013,2e-05,1.1494,1.0911,0.25033,6.59734e-05,6.59734e-05,0.0334329
3,2911.71,1.21046,0.82457,0.25883,0.00379,0.58029,0.01946,0.00547,0.70951,2.04796,0.13466,9.79871e-05,9.79871e-05,0.000131555
4,3878.93,0.81504,1.05438,0.16139,0.04846,0.50586,0.06007,0.01897,0.52424,2.61916,0.09166,9.703e-05,9.703e-05,9.703e-05
5,4845.78,0.62591,1.16497,0.11636,0.07251,0.63165,0.12276,0.05235,0.41259,2.24801,0.06815,9.604e-05,9.604e-05,9.604e-05
6,5813.22,0.57466,1.06607,0.10326,0.17514,0.58295,0.22831,0.09767,0.4188,2.26967,0.06779,9.505e-05,9.505e-05,9.505e-05
7,6780.01,0.55789,0.97403,0.0987,0.29523,0.6312,0.34838,0.15203,0.42894,1.96435,0.06979,9.406e-05,9.406e-05,9.406e-05
8,7747.33,0.57141,0.84509,0.10089,0.35179,0.76916,0.47086,0.21191,0.42218,1.94958,0.0675,9.307e-05,9.307e-05,9.307e-05
9,8714.32,0.57803,0.70666,0.10075,0.52981,0.84141,0.59137,0.25569,0.43667,1.19213,0.06982,9.208e-05,9.208e-05,9.208e-05
10,9681.44,0.57041,0.64703,0.0991,0.64544,0.8655,0.72061,0.30907,0.43841,1.1289,0.07159,9.109e-05,9.109e-05,9.109e-05
11,10648.2,0.5568,0.63892,0.09536,0.74806,0.88006,0.79388,0.37015,0.41912,0.76811,0.06597,9.01e-05,9.01e-05,9.01e-05
12,11614.9,0.54407,0.62044,0.09259,0.62868,0.91602,0.71275,0.33371,0.40543,0.84087,0.06414,8.911e-05,8.911e-05,8.911e-05
13,12580.4,0.54037,0.6218,0.09077,0.71975,0.9301,0.79388,0.3618,0.41009,0.72253,0.06556,8.812e-05,8.812e-05,8.812e-05
14,13546.5,0.53764,0.57123,0.09045,0.72871,0.91869,0.81852,0.38122,0.41235,1.03594,0.06444,8.713e-05,8.713e-05,8.713e-05
15,14514.2,0.52373,0.57239,0.08829,0.77185,0.92143,0.81665,0.38963,0.40451,0.69399,0.06389,8.614e-05,8.614e-05,8.614e-05
16,15481.2,0.5179,0.56012,0.08659,0.77751,0.94245,0.85758,0.39756,0.41053,0.61183,0.06464,8.515e-05,8.515e-05,8.515e-05
17,16447.4,0.51751,0.56925,0.08772,0.82715,0.95267,0.88639,0.42728,0.39159,0.43114,0.06139,8.416e-05,8.416e-05,8.416e-05
18,17413.3,0.50638,0.5594,0.08364,0.82111,0.94811,0.88685,0.42619,0.39474,0.49002,0.06075,8.317e-05,8.317e-05,8.317e-05
19,18379,0.50139,0.51934,0.08235,0.86785,0.91468,0.9233,0.43445,0.40983,0.4598,0.0625,8.218e-05,8.218e-05,8.218e-05
20,19346.3,0.503,0.50692,0.08233,0.7686,0.95271,0.86326,0.42939,0.38668,0.52739,0.05902,8.119e-05,8.119e-05,8.119e-05
21,20311.9,0.49588,0.50072,0.08171,0.89472,0.91859,0.94893,0.47521,0.38624,0.36998,0.06112,8.02e-05,8.02e-05,8.02e-05
22,21279.1,0.49457,0.48881,0.08089,0.86247,0.93713,0.94058,0.47094,0.38462,0.39501,0.05883,7.921e-05,7.921e-05,7.921e-05
23,22244.4,0.49534,0.51398,0.08192,0.73996,0.94949,0.84376,0.4221,0.37893,0.3886,0.05861,7.822e-05,7.822e-05,7.822e-05
24,23209.8,0.48342,0.50082,0.07914,0.82308,0.93156,0.88345,0.43719,0.38352,0.3911,0.0599,7.723e-05,7.723e-05,7.723e-05
25,24175.2,0.4713,0.5187,0.07746,0.79221,0.95575,0.86632,0.43268,0.38109,0.39642,0.0594,7.624e-05,7.624e-05,7.624e-05
26,25141,0.46924,0.49029,0.07652,0.84677,0.9513,0.9214,0.47802,0.36663,0.37181,0.05615,7.525e-05,7.525e-05,7.525e-05
27,26106.9,0.47712,0.50859,0.07871,0.8731,0.92607,0.93862,0.47429,0.37765,0.43847,0.05837,7.426e-05,7.426e-05,7.426e-05
28,27072,0.4707,0.49374,0.07766,0.87298,0.92858,0.94621,0.47938,0.37648,0.41503,0.05941,7.327e-05,7.327e-05,7.327e-05
29,28038.7,0.47365,0.47331,0.07815,0.94659,0.92815,0.96322,0.48334,0.37813,0.35425,0.05812,7.228e-05,7.228e-05,7.228e-05
30,29005.2,0.4565,0.47175,0.07439,0.9339,0.94993,0.95802,0.49643,0.36532,0.44027,0.05677,7.129e-05,7.129e-05,7.129e-05
31,29972.2,0.45661,0.46405,0.07394,0.86998,0.9598,0.90994,0.48113,0.3598,0.35792,0.05551,7.03e-05,7.03e-05,7.03e-05
32,30937.6,0.44919,0.48151,0.07324,0.91688,0.96442,0.94876,0.48725,0.36728,0.42207,0.05569,6.931e-05,6.931e-05,6.931e-05
33,31902.6,0.45642,0.46641,0.07367,0.93117,0.94711,0.96357,0.51088,0.35641,0.36126,0.05507,6.832e-05,6.832e-05,6.832e-05
34,32868.5,0.438,0.46765,0.07107,0.91571,0.9651,0.95136,0.50163,0.35466,0.35363,0.05437,6.733e-05,6.733e-05,6.733e-05
35,33834.1,0.43834,0.45173,0.07077,0.9323,0.9574,0.96669,0.50486,0.36025,0.35149,0.05563,6.634e-05,6.634e-05,6.634e-05
36,34799.9,0.43818,0.43892,0.07024,0.94475,0.9505,0.96819,0.51383,0.35107,0.34184,0.05396,6.535e-05,6.535e-05,6.535e-05
